UID         PID   PPID  C STIME TTY          TIME CMD
shim84     4321   4028  0 09:56 ?        00:00:01 /usr/lib/unity-settings-daemon/unity-settings-daemon
shim84     4327   4028  0 09:56 ?        00:02:54 compiz
shim84     4330   4028  0 09:56 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
shim84     4336   4028  0 09:56 ?        00:00:04 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
shim84     4365   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
shim84     4366   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
shim84     4372   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
shim84     4375   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
shim84     4378   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
shim84     4379   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
shim84     4382   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
shim84     4386   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
shim84     4390   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
shim84     4419   4028  0 09:56 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
shim84     4422   4028  0 09:56 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
shim84     4495   4028  0 09:56 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
shim84     4515   4330  0 09:56 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
shim84     4517   4028  0 09:56 ?        00:00:38 /usr/bin/vmtoolsd -n vmusr
shim84     4518   4330  0 09:56 ?        00:00:00 nm-applet
shim84     4523   4330  0 09:56 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
shim84     4528   4330  0 09:56 ?        00:00:10 nautilus -n
shim84     4531   4330  0 09:56 ?        00:00:09 /usr/bin/gnome-software --gapplication-service
shim84     4564   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root       4567      1  0 09:56 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
shim84     4582   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
shim84     4588   4495  0 09:56 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx4495x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/4495/2
shim84     4590   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
shim84     4597   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
shim84     4602   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
root       4610      1  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
shim84     4620   4495  0 09:56 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx4495x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/4495/3
shim84     4623   4028  0 09:56 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
shim84     4626   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
shim84     4636   4623  0 09:56 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx4623x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/4623/2
shim84     4664   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
shim84     4709   4330  0 09:56 ?        00:00:00 zeitgeist-datahub
shim84     4716   4028  0 09:56 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
shim84     4720   4716  0 09:56 ?        00:00:00 /usr/bin/zeitgeist-daemon
shim84     4728   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
shim84     4755   4330  0 09:57 ?        00:00:00 update-notifier
root       4783      1  0 09:57 ?        00:00:01 gpg-agent --homedir /root/.gnupg --use-standard-socket --daemon
shim84     4801   4028  0 09:57 ?        00:00:01 /usr/lib/x86_64-linux-gnu/notify-osd
shim84     5036   4330  0 09:58 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
shim84     5174   4028  0 10:05 ?        00:00:01 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
shim84     5186   4028  0 10:05 ?        00:00:01 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
shim84     5187   4028  0 10:05 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
shim84     5311   4028  0 10:08 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-video/unity-video-lens-daemon
shim84     5319   4028  0 10:08 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
shim84     5325   4028  0 10:08 ?        00:00:00 /usr/bin/python3 /usr/share/unity-scopes/shotwell/unity_shotwell_daemon.py
shim84     5357   4028  0 10:08 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
shim84     5416   4028  0 10:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.5 /org/gtk/gvfs/exec_spaw/2
shim84     5424   4028  0 10:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-smb-browse --spawner :1.5 /org/gtk/gvfs/exec_spaw/4
shim84     5439   4028  0 10:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.5 /org/gtk/gvfs/exec_spaw/5
shim84     5590   4028  0 10:15 ?        00:00:07 /usr/lib/gnome-terminal/gnome-terminal-server
shim84     5598   5590  0 10:15 pts/4    00:00:00 bash
root      11250      1  0 12:30 ?        00:00:00 /usr/sbin/vsftpd /etc/vsftpd.conf
root      16991      1  0 14:47 ?        00:00:00 /usr/sbin/sshd -D
root      18052      2  0 17:00 ?        00:00:00 [kworker/u257:0]
